Category: All categories

Week,free food: (United States),free meal: (United States),snap food: (United States),france: (United States)
2020-01-05,11,3,1,70
2020-01-12,10,2,1,65
2020-01-19,12,2,1,62
2020-01-26,12,2,1,63
2020-02-02,11,2,1,62
2020-02-09,11,2,1,64
2020-02-16,11,2,1,64
2020-02-23,11,2,1,79
2020-03-01,11,1,1,88
2020-03-08,9,1,1,97
2020-03-15,16,5,2,93
2020-03-22,19,3,4,71
2020-03-29,18,3,5,66
2020-04-05,17,3,4,66
2020-04-12,16,2,4,65
2020-04-19,18,4,3,59
2020-04-26,17,3,3,58
2020-05-03,16,4,3,71
2020-05-10,12,2,2,56
2020-05-17,12,2,2,57
2020-05-24,12,2,2,57
2020-05-31,10,1,2,53
2020-06-07,10,2,2,58
2020-06-14,11,2,2,55
2020-06-21,11,1,2,53
2020-06-28,11,2,2,52
2020-07-05,9,2,2,57
2020-07-12,11,2,2,59
2020-07-19,11,1,2,58
2020-07-26,11,2,2,59
2020-08-02,11,1,2,58
2020-08-09,10,2,2,59
2020-08-16,10,1,1,59
2020-08-23,10,2,2,71
2020-08-30,9,2,2,98
2020-09-06,10,2,2,93
2020-09-13,10,2,2,96
2020-09-20,10,2,1,75
2020-09-27,10,1,2,61
2020-10-04,10,1,2,65
2020-10-11,11,1,2,71
2020-10-18,11,2,1,63
2020-10-25,10,1,1,100
2020-11-01,10,1,2,53
2020-11-08,17,4,2,57
2020-11-15,13,2,2,55
2020-11-22,12,1,1,45
2020-11-29,11,2,1,50
2020-12-06,12,1,2,51
2020-12-13,13,1,2,51
2020-12-20,11,1,1,47
2020-12-27,10,2,2,45
