Category: All categories

Week,france: (United States),WIC: (United States),food shortage: (United States),food coupons: (United States),food banks: (United States)
2020-01-05,66,21,<1,2,2
2020-01-12,65,18,<1,2,1
2020-01-19,66,19,<1,2,2
2020-01-26,63,18,<1,2,2
2020-02-02,65,19,<1,2,1
2020-02-09,66,18,<1,2,1
2020-02-16,68,18,<1,2,2
2020-02-23,81,16,<1,2,2
2020-03-01,91,17,1,2,1
2020-03-08,97,17,3,2,2
2020-03-15,92,29,4,2,5
2020-03-22,70,18,1,1,5
2020-03-29,69,23,2,1,5
2020-04-05,66,17,1,1,6
2020-04-12,64,15,2,1,7
2020-04-19,60,15,2,1,5
2020-04-26,56,15,3,1,4
2020-05-03,73,14,2,1,3
2020-05-10,58,14,1,1,3
2020-05-17,55,14,1,1,2
2020-05-24,55,13,<1,1,2
2020-05-31,53,16,<1,1,2
2020-06-07,55,15,<1,1,1
2020-06-14,55,14,<1,1,1
2020-06-21,50,15,<1,1,2
2020-06-28,54,16,<1,1,2
2020-07-05,58,17,<1,1,2
2020-07-12,61,14,1,1,2
2020-07-19,57,16,<1,1,2
2020-07-26,59,16,1,1,2
2020-08-02,56,15,1,1,2
2020-08-09,58,16,1,1,2
2020-08-16,57,14,1,2,2
2020-08-23,67,15,1,1,2
2020-08-30,100,16,1,1,2
2020-09-06,94,14,1,1,2
2020-09-13,92,14,1,1,2
2020-09-20,72,15,1,1,2
2020-09-27,61,16,1,1,3
2020-10-04,62,16,1,1,2
2020-10-11,72,16,1,1,2
2020-10-18,65,16,1,1,2
2020-10-25,95,15,1,2,2
2020-11-01,51,15,1,1,2
2020-11-08,54,15,<1,1,3
2020-11-15,54,15,1,1,4
2020-11-22,45,12,<1,2,5
2020-11-29,48,19,<1,1,3
2020-12-06,47,15,1,1,3
2020-12-13,51,14,<1,1,4
2020-12-20,45,11,<1,1,3
2020-12-27,45,15,<1,1,2
