Category: All categories

Week,france: (United States),food stamps: (United States),EBT: (United States),food assistance: (United States),emergency food: (United States)
2020-01-05,66,17,13,1,1
2020-01-12,65,15,12,1,1
2020-01-19,66,13,9,1,1
2020-01-26,63,14,9,1,1
2020-02-02,65,15,13,1,1
2020-02-09,66,14,11,1,1
2020-02-16,68,14,11,1,1
2020-02-23,81,13,10,1,7
2020-03-01,91,13,12,1,5
2020-03-08,97,16,11,1,9
2020-03-15,92,41,16,2,11
2020-03-22,70,44,18,3,6
2020-03-29,69,66,31,3,6
2020-04-05,66,58,32,2,4
2020-04-12,64,51,27,2,3
2020-04-19,60,39,26,3,2
2020-04-26,56,33,28,2,2
2020-05-03,73,31,30,2,1
2020-05-10,58,30,37,1,2
2020-05-17,55,29,53,2,1
2020-05-24,55,24,45,1,1
2020-05-31,53,27,52,1,1
2020-06-07,55,25,49,1,1
2020-06-14,55,22,45,1,1
2020-06-21,50,21,44,1,1
2020-06-28,54,24,47,1,2
2020-07-05,58,24,42,1,1
2020-07-12,61,21,37,1,2
2020-07-19,57,21,33,1,2
2020-07-26,59,23,37,1,1
2020-08-02,56,25,35,1,1
2020-08-09,58,26,34,1,2
2020-08-16,57,22,31,1,1
2020-08-23,67,21,26,2,2
2020-08-30,100,22,28,1,2
2020-09-06,94,21,29,1,2
2020-09-13,92,19,26,1,1
2020-09-20,72,19,25,1,1
2020-09-27,61,22,30,1,1
2020-10-04,62,23,29,1,2
2020-10-11,72,23,28,1,2
2020-10-18,65,24,28,1,2
2020-10-25,95,23,28,1,2
2020-11-01,51,22,26,1,2
2020-11-08,54,23,29,1,2
2020-11-15,54,24,29,2,1
2020-11-22,45,17,22,1,1
2020-11-29,48,23,30,1,1
2020-12-06,47,24,28,1,1
2020-12-13,51,21,31,1,1
2020-12-20,45,16,22,1,1
2020-12-27,45,25,28,1,1
